,date,daily_return
0,2020-07-01,0.0
1,2020-07-02,0.004866660662796243
2,2020-07-06,0.015671003803391755
3,2020-07-07,-0.013636868914401008
4,2020-07-08,0.006351719629419952
5,2020-07-09,-0.013814117530021257
6,2020-07-10,0.013268418371116236
7,2020-07-13,-0.0017456760171468307
8,2020-07-14,0.018094805655696353
9,2020-07-15,0.006867342680803245
10,2020-07-16,-0.0018362195271896002
11,2020-07-17,0.0006490848525744614
12,2020-07-20,6.026928860743608e-05
13,2020-07-21,0.005090564461367927
14,2020-07-22,0.005436573165725297
15,2020-07-23,-0.009365801982656706
16,2020-07-24,-0.008738293815368326
17,2020-07-27,0.004114031271130986
18,2020-07-28,-0.005988931812168585
19,2020-07-29,0.007075650856277042
20,2020-07-30,-0.008747269348284115
21,2020-07-31,0.0016645112385669696
22,2020-08-03,0.009020915431348822
23,2020-08-04,0.003528262085153873
24,2020-08-05,0.011672582886021767
25,2020-08-06,0.005612999649501973
26,2020-08-07,0.004020920176662705
27,2020-08-10,0.011178731763394319
28,2020-08-11,-0.004096039223122754
29,2020-08-12,0.009212446544518114
30,2020-08-13,-0.0043450270474780775
31,2020-08-14,0.001553104860189872
32,2020-08-17,-0.003948519457129792
33,2020-08-18,1.907128932040179e-05
34,2020-08-19,-0.0038500836131923066
35,2020-08-20,0.001120577642375568
36,2020-08-21,0.0029534848519238116
37,2020-08-24,0.011644060350467162
38,2020-08-25,0.0037557961760902644
39,2020-08-26,0.013600633011535215
40,2020-08-27,0.00870538918133654
41,2020-08-28,0.0050282797908261165
42,2020-08-31,-0.006394199958401407
43,2020-09-01,0.006086341992208123
44,2020-09-02,0.01721852055183187
45,2020-09-03,-0.024929356325178807
46,2020-09-04,-0.0037704384929080994
47,2020-09-08,-0.023330618537709947
48,2020-09-09,0.014621225856110219
49,2020-09-10,-0.014838779307341779
50,2020-09-11,0.005189044459776823
51,2020-09-14,0.011816219209361557
52,2020-09-15,-0.0005728041209679429
53,2020-09-16,0.00167412467177998
54,2020-09-17,-0.0035989654391016257
55,2020-09-18,-0.008696558749051763
56,2020-09-21,-0.018110014465571544
57,2020-09-22,0.005021276236924807
58,2020-09-23,-0.01981746895560236
59,2020-09-24,0.0023565479764817944
60,2020-09-25,0.012977808074005793
61,2020-09-28,0.014778176452416041
62,2020-09-29,-0.005850478464292936
63,2020-09-30,0.011537323227201782
64,2020-10-01,0.0006619280188146663
65,2020-10-02,-0.00521353222824217
66,2020-10-05,0.016254187160255108
67,2020-10-06,-0.011512273180162335
68,2020-10-07,0.01873741938921347
69,2020-10-08,0.009395139421989253
70,2020-10-09,0.004546592623307887
71,2020-10-12,0.010127684346941924
72,2020-10-13,-0.007464201725417508
73,2020-10-14,-0.0048883653264017845
74,2020-10-15,0.0006964035542680073
75,2020-10-16,0.0036192269244655195
76,2020-10-19,-0.014543736620096944
77,2020-10-20,0.0021708676735509446
78,2020-10-21,-0.0038736519877218788
79,2020-10-22,0.007261346017679921
80,2020-10-23,-0.002399529063491724
81,2020-10-26,-0.022115959675630157
82,2020-10-27,-0.00792606109535212
83,2020-10-28,-0.0335591075158275
84,2020-10-29,0.00447477566611903
85,2020-10-30,-0.003243046831422816
86,2020-11-02,0.015714095692461943
87,2020-11-03,0.019769263187693016
