,date,dji
369,2019-06-21,1076342.263463587
370,2019-06-24,1076680.975992481
371,2019-06-25,1069457.390396599
372,2019-06-26,1068998.1418411627
373,2019-06-27,1068585.6285336155
374,2019-06-28,1071541.6723020405
375,2019-07-01,1076273.7341691232
376,2019-07-02,1079063.3721306701
377,2019-07-03,1086287.0364054204
378,2019-07-05,1084519.3582668242
379,2019-07-08,1079847.3283764073
380,2019-07-09,1078934.8895384092
381,2019-07-10,1082025.0020987587
382,2019-07-11,1091204.8590810325
383,2019-07-12,1101032.007114458
384,2019-07-15,1102124.9352767959
385,2019-07-16,1101177.0909479726
386,2019-07-17,1096513.0076232743
387,2019-07-18,1096638.7364551378
388,2019-07-19,1093868.3748163732
389,2019-07-22,1094581.4414015918
390,2019-07-23,1101723.2796531017
391,2019-07-24,1098532.064746729
392,2019-07-25,1093335.8762343633
393,2019-07-26,1095409.2217770834
394,2019-07-29,1096573.4329942823
395,2019-07-30,1095633.6139100462
396,2019-07-31,1082188.9688607133
397,2019-08-01,1070875.3409647115
398,2019-08-02,1066911.0274964548
399,2019-08-05,1036002.6634370565
400,2019-08-06,1048562.2498946295
401,2019-08-07,1047657.9149800868
402,2019-08-08,1062607.9228204358
403,2019-08-09,1058952.1878744378
404,2019-08-12,1043201.3078316238
405,2019-08-13,1058648.880836369
406,2019-08-14,1026402.2679026488
407,2019-08-15,1030429.445786837
408,2019-08-16,1042781.1626738322
409,2019-08-19,1052843.167129731
410,2019-08-20,1045860.0241559861
411,2019-08-21,1055539.8066687107
412,2019-08-22,1057534.237306325
413,2019-08-23,1032423.8764244514
414,2019-08-26,1043297.6107666681
415,2019-08-27,1038426.129944603
416,2019-08-28,1048827.319002607
417,2019-08-29,1061965.824574605
418,2019-08-30,1063618.631565191
419,2019-09-03,1052127.3467841153
420,2019-09-04,1061692.7302220406
421,2019-09-05,1076705.6024783214
422,2019-09-06,1079497.6794847918
423,2019-09-09,1081030.4225220464
424,2019-09-10,1084008.1816581776
425,2019-09-11,1093177.1022777297
426,2019-09-12,1095006.3859703618
427,2019-09-13,1096499.7108944976
428,2019-09-16,1090751.2754041282
429,2019-09-17,1092120.1303582967
430,2019-09-18,1093581.5903406898
431,2019-09-19,1091475.120994331
432,2019-09-20,1085041.0778438498
433,2019-09-23,1085642.1057203235
434,2019-09-24,1079912.9465527367
435,2019-09-25,1086476.8098362433
436,2019-09-26,1083270.5672659872
437,2019-09-27,1080415.7045224535
438,2019-09-30,1084306.2958909252
439,2019-10-01,1070457.1627786322
440,2019-10-02,1050540.1579698585
441,2019-10-03,1055471.6707685895
442,2019-10-04,1070484.6217037388
443,2019-10-07,1066629.4358260923
444,2019-10-08,1053981.1782837196
445,2019-10-09,1061311.6097830248
446,2019-10-10,1067380.7403414017
447,2019-10-11,1080268.260322884
448,2019-10-14,1079090.7523769082
449,2019-10-15,1088655.7424204908
450,2019-10-16,1087736.4585209333
451,2019-10-17,1088699.2518347716
452,2019-10-18,1078399.4798382646
453,2019-10-21,1080713.4253608587
454,2019-10-22,1079120.5716680698
455,2019-10-23,1080967.5581061146
456,2019-10-24,1079822.7018905666
457,2019-10-25,1085967.2068049668
458,2019-10-28,1091311.232911245
459,2019-10-29,1090535.3805889632
460,2019-10-30,1095177.197793876
461,2019-10-31,1089519.006965676
462,2019-11-01,1101649.557553317
463,2019-11-04,1106272.098435447
464,2019-11-05,1107501.6131135013
465,2019-11-06,1107498.7806742354
466,2019-11-07,1114840.0698573936
467,2019-11-08,1115099.4740868392
468,2019-11-11,1115512.3807887288
469,2019-11-12,1115512.3807887288
470,2019-11-13,1119222.482832861
471,2019-11-14,1119156.8646565317
472,2019-11-15,1128137.270707157
473,2019-11-18,1129399.3584367705
474,2019-11-19,1125282.3292847546
475,2019-11-20,1120733.117108067
476,2019-11-21,1118525.5454156853
477,2019-11-22,1122929.752437727
478,2019-11-25,1130617.9367521033
479,2019-11-26,1132841.9523280016
480,2019-11-27,1134546.7660506663
481,2019-11-29,1130011.2439970972
482,2019-12-02,1119200.295391944
483,2019-12-03,1107911.687376125
484,2019-12-04,1113832.1148730363
485,2019-12-05,1114960.4485261992
486,2019-12-06,1128546.951575438
487,2019-12-09,1124298.6073918955
488,2019-12-10,1123175.545222922
489,2019-12-11,1124367.1366863593
490,2019-12-12,1133259.7371197382
491,2019-12-13,1133393.8845905312
