,account_value,date,daily_return,datadate
0,1000000.0,2018-01-02,,2018-01-02
1,1002809.7523925784,2018-01-03,0.0028097523925783,2018-01-03
2,1007755.1958489992,2018-01-04,0.0049315869182779,2018-01-04
3,1013057.1528802492,2018-01-05,0.0052611557381088,2018-01-05
4,1013965.3020501712,2018-01-08,0.0008964441614571,2018-01-08
5,1014211.0287347414,2018-01-09,0.0002423423011355,2018-01-09
6,1013254.5210443116,2018-01-10,-0.0009431051953979,2018-01-10
7,1022805.5349603272,2018-01-11,0.009426075796012,2018-01-11
8,1028769.8687005616,2018-01-12,0.0058313467578816,2018-01-12
9,1023727.9712396242,2018-01-16,-0.0049008992334756,2018-01-16
10,1031997.4520745852,2018-01-17,0.0080778107732539,2018-01-17
11,1028603.4895501712,2018-01-18,-0.003288731495985,2018-01-18
12,1035211.929369507,2018-01-19,0.0064246717870128,2018-01-19
13,1041572.7135491944,2018-01-22,0.0061444270484416,2018-01-22
14,1042386.4402337648,2018-01-23,0.0007812480818525,2018-01-23
15,1043646.3635736086,2018-01-24,0.0012086912216175,2018-01-24
16,1043961.066088257,2018-01-25,0.0003015413320377,2018-01-25
17,1052702.596972046,2018-01-26,0.0083734261437005,2018-01-26
18,1044373.7452874758,2018-01-29,-0.0079118753088736,2018-01-29
19,1033104.7306390384,2018-01-30,-0.0107902125070518,2018-01-30
20,1031806.4768548586,2018-01-31,-0.0012566526371209,2018-01-31
21,1033220.7831292726,2018-02-01,0.0013707088549446,2018-02-01
22,1010582.6780267336,2018-02-02,-0.021910230100072,2018-02-02
23,1009572.7614901124,2018-02-05,-0.0009993408343325,2018-02-05
24,1009572.7614901124,2018-02-06,0.0,2018-02-06
25,1009572.7614901124,2018-02-07,0.0,2018-02-07
26,975964.595595093,2018-02-08,-0.0332894935134882,2018-02-08
27,974989.3058548586,2018-02-09,-0.000999308524752,2018-02-09
28,985621.1215281984,2018-02-12,0.0109045459365506,2018-02-12
29,986990.1684031984,2018-02-13,0.0013890194163832,2018-02-13
30,1001210.3554149172,2018-02-14,0.0144076278234106,2018-02-14
31,1010103.0888133548,2018-02-15,0.0088819830421671,2018-02-15
32,1011875.4940867922,2018-02-16,0.0017546776097077,2018-02-16
33,1003186.9745555422,2018-02-20,-0.008586550007411,2018-02-20
34,998880.460395386,2018-02-21,-0.0042928330105803,2018-02-21
35,999757.8246531984,2018-02-22,0.0008783476027403,2018-02-22
36,1013180.9032664796,2018-02-23,0.013426330139439,2018-02-23
37,1021902.6190867922,2018-02-26,0.0086082512927294,2018-02-26
38,1007619.0849071048,2018-02-27,-0.0139773926721625,2018-02-27
39,994159.5277781984,2018-02-28,-0.0133577830457103,2018-02-28
40,984729.0082469484,2018-03-01,-0.0094859217939859,2018-03-01
41,989975.4657664796,2018-03-02,0.0053278185933318,2018-03-02
42,999437.161567261,2018-03-05,0.0095575053402516,2018-03-05
43,1003736.0297313236,2018-03-06,0.0043012890948754,2018-03-06
44,1004085.5331492922,2018-03-07,0.0003482025229903,2018-03-07
45,1006368.827582886,2018-03-08,0.0022740039152164,2018-03-08
46,1020490.1879344484,2018-03-09,0.0140319930074537,2018-03-09
47,1019561.9872508548,2018-03-12,-0.0009095635554051,2018-03-12
48,1014184.7504344484,2018-03-13,-0.0052740656121413,2018-03-13
49,1008837.2665477296,2018-03-14,-0.0052726920656498,2018-03-14
50,1006795.2587352296,2018-03-15,-0.0020241201234445,2018-03-15
51,1010429.9477000736,2018-03-16,0.0036101570138598,2018-03-16
52,999969.839301636,2018-03-19,-0.0103521361597077,2018-03-19
53,1000778.7558055422,2018-03-20,0.0008089409021287,2018-03-20
54,1002976.675239136,2018-03-21,0.002196209122989,2018-03-21
55,979034.632270386,2018-03-22,-0.0238709867934282,2018-03-22
56,962302.1142039796,2018-03-23,-0.0170908336792984,2018-03-23
57,982753.698676636,2018-03-26,0.0212527689285748,2018-03-26
58,970906.683051636,2018-03-27,-0.0120549183798066,2018-03-27
59,971212.8944774172,2018-03-28,0.0003153870821228,2018-03-28
60,982415.6229930422,2018-03-29,0.0115347814874851,2018-03-29
61,962999.216254761,2018-04-02,-0.0197639433696371,2018-04-02
62,974956.1586375736,2018-04-03,0.0124163573354865,2018-04-03
63,983567.061957886,2018-04-04,,2018-04-04
64,991690.8593211672,2018-04-05,0.00825952563632,2018-04-05
65,973859.6337352296,2018-04-06,-0.017980629163148,2018-04-06
66,976085.858832886,2018-04-09,0.0022859814911082,2018-04-09
67,991364.5429149172,2018-04-10,0.0156530124309965,2018-04-10
68,988285.2001414796,2018-04-11,-0.0031061659360775,2018-04-11
69,993740.9833446048,2018-04-12,0.0055204542194338,2018-04-12
70,990670.1737742922,2018-04-13,-0.0030901508761137,2018-04-13
71,997494.3759227296,2018-04-16,0.0068884703800442,2018-04-16
72,1004414.4852977296,2018-04-17,0.0069374921222975,2018-04-17
73,1006592.556098511,2018-04-18,0.0021684979982499,2018-04-18
74,1001511.001411011,2018-04-19,-0.0050482736601945,2018-04-19
75,996203.9354930422,2018-04-20,-0.0052990590322938,2018-04-20
76,996224.624457886,2018-04-23,2.076780075510598e-05,2018-04-23
77,988832.5888133548,2018-04-24,-0.0074200491164869,2018-04-24
78,988802.7562938236,2018-04-25,-3.016943400602212e-05,2018-04-25
79,993952.343207886,2018-04-26,0.0052079010513319,2018-04-26
80,994522.323676636,2018-04-27,0.0005734484883956,2018-04-27
81,987841.2894969484,2018-04-30,-0.0067178322905698,2018-04-30
82,987276.2206492922,2018-05-01,-0.0005720239209113,2018-05-01
83,982757.0707469484,2018-05-02,-0.0045773916233611,2018-05-02
84,980222.3915477296,2018-05-03,-0.0025791513230144,2018-05-03
85,988903.9276805422,2018-05-04,0.0088567004872279,2018-05-04
86,992036.940864136,2018-05-07,0.0031681673981638,2018-05-07
87,992814.9926219484,2018-05-08,0.0007842971624976,2018-05-08
88,1001262.5062938236,2018-05-09,0.0085086483732137,2018-05-09
89,1008637.4188914796,2018-05-10,0.0073656134642996,2018-05-10
90,1010935.2602000736,2018-05-11,0.002278163853091,2018-05-11
91,1010972.550239136,2018-05-14,3.688667368773047e-05,2018-05-14
92,1006464.4345164796,2018-05-15,-0.0044591870685212,2018-05-15
93,1010699.3222117922,2018-05-16,0.0042076873758056,2018-05-16
94,1011841.4950633548,2018-05-17,0.0011300817428698,2018-05-17
95,1009940.2909617922,2018-05-18,-0.0018789544714643,2018-05-18
96,1016775.9144969484,2018-05-21,0.0067683442242376,2018-05-21
97,1013074.620551636,2018-05-22,-0.0036402258280712,2018-05-22
98,1011824.6200633548,2018-05-23,-0.001233868130662,2018-05-23
99,1008801.2313914796,2018-05-24,-0.0029880560444216,2018-05-24
100,1004606.159614136,2018-05-25,-0.0041584721021378,2018-05-25
101,991552.3964305422,2018-05-29,-0.0129939111548028,2018-05-29
102,1006142.112739136,2018-05-30,0.0147140144697495,2018-05-30
103,998167.5712352296,2018-05-31,-0.0079258599783644,2018-05-31
104,1005900.349067261,2018-06-01,0.0077469736093129,2018-06-01
105,1009994.7655711672,2018-06-04,0.0040703997246873,2018-06-04
106,1010148.3090281984,2018-06-05,0.0001520240126635,2018-06-05
107,1019220.6820750736,2018-06-06,0.0089812287619457,2018-06-06
108,1019026.3075633548,2018-06-07,-0.0001907089555158,2018-06-07
109,1022384.3852000736,2018-06-08,0.0032953787471379,2018-06-08
110,1024260.528754761,2018-06-11,0.0018350667144826,2018-06-11
111,1024257.888129761,2018-06-12,-2.578079429826907e-06,2018-06-12
112,1019762.6527781984,2018-06-13,-0.004388772987407,2018-06-13
113,1019754.985786011,2018-06-14,-7.518408491002937e-06,2018-06-14
114,1017196.8358836672,2018-06-15,-0.0025085926894213,2018-06-15
115,1016335.8339305422,2018-06-18,-0.000846445764233,2018-06-18
116,1011816.5316844484,2018-06-19,-0.0044466623090676,2018-06-19
117,1013870.6000438236,2018-06-20,0.0020300798564294,2018-06-20
118,1006156.392036011,2018-06-21,-0.0076086711731053,2018-06-21
119,1011035.6918406984,2018-06-22,0.004849444721823,2018-06-22
120,997641.8207469484,2018-06-25,-0.0132476738475622,2018-06-25
121,1000684.155707886,2018-06-26,0.0030495262905676,2018-06-26
122,991259.9516063236,2018-06-27,-0.0094177608866963,2018-06-27
123,995993.6288524172,2018-06-28,0.0047754146008045,2018-06-28
124,997671.0302196048,2018-06-29,0.001684148691915,2018-06-29
125,997698.2074656984,2018-07-02,2.724068883486197e-05,2018-07-02
126,998768.1229930422,2018-07-03,,2018-07-03
127,1007726.0998956304,2018-07-05,0.0089690256390475,2018-07-05
128,1019555.552495728,2018-07-06,0.0117387577848018,2018-07-06
129,1028753.9600885016,2018-07-09,0.0090219778316709,2018-07-09
130,1029485.0799429936,2018-07-10,0.0007106848506608,2018-07-10
131,1023383.2627409672,2018-07-11,-0.0059270574395932,2018-07-11
132,1036903.3481789556,2018-07-12,0.013211165288923,2018-07-12
133,1037605.1319255376,2018-07-13,0.0006768072914553,2018-07-13
134,1035462.6653728032,2018-07-16,-0.0020648187704686,2018-07-16
135,1041488.1502360844,2018-07-17,0.0058191232429531,2018-07-17
136,1041815.4620036626,2018-07-18,0.00031427315568,2018-07-18
137,1037780.1409587408,2018-07-19,-0.0038733549194605,2018-07-19
138,1037147.6819743656,2018-07-20,-0.0006094344644046,2018-07-20
139,1039595.4424724126,2018-07-23,0.002360088674534,2018-07-23
140,1040452.6862773442,2018-07-24,0.0008245936543285,2018-07-24
141,1051924.0319804691,2018-07-25,0.0110253410408966,2018-07-25
142,1043201.9186992192,2018-07-26,-0.0082915809660024,2018-07-26
143,1029442.249658936,2018-07-27,-0.0131898425354127,2018-07-27
144,1016239.966455811,2018-07-30,-0.0128246953216647,2018-07-30
145,1021626.1016020512,2018-07-31,0.0053000623120784,2018-07-31
146,1025337.2558989264,2018-08-01,0.0036325954192588,2018-08-01
147,1036365.3437895512,2018-08-02,0.0107555712300306,2018-08-02
148,1038128.5430083012,2018-08-03,0.0017013297765271,2018-08-03
149,1043874.842020264,2018-08-06,0.0055352480679427,2018-08-06
150,1047298.152078858,2018-08-07,0.0032794257709749,2018-08-07
151,1047610.6856350102,2018-08-08,0.0002984188939243,2018-08-08
152,1047642.9002539068,2018-08-09,3.075056348533778e-05,2018-08-09
153,1040544.560166016,2018-08-10,-0.0067755339974816,2018-08-10
154,1037649.407485108,2018-08-13,-0.0027823437762687,2018-08-13
155,1044175.7588410648,2018-08-14,0.0062895533972062,2018-08-14
156,1032259.5025874028,2018-08-15,-0.0114121173114456,2018-08-15
157,1038026.3113937991,2018-08-16,0.0055865882483441,2018-08-16
158,1039731.627311768,2018-08-17,0.0016428445977241,2018-08-17
159,1040732.7967453618,2018-08-20,0.0009629113968403,2018-08-20
160,1045477.0283994144,2018-08-21,0.0045585491961905,2018-08-21
161,1048502.6185644536,2018-08-22,0.0028939805302763,2018-08-22
