,date,open,high,low,close,volume,tic,day
0,2010-01-04,10430.6904296875,10604.9697265625,10430.6904296875,10583.9599609375,179780000,^DJI,0
1,2010-01-04,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375,3991400000,^GSPC,0
2,2010-01-04,2294.409912109375,2311.14990234375,2294.409912109375,2308.419921875,1931380000,^IXIC,0
3,2010-01-04,7184.97998046875,7331.1201171875,7184.97998046875,7326.740234375,3991400000,^NYA,0
4,2010-01-04,628.1099853515625,640.0999755859375,628.1099853515625,640.0999755859375,3991400000,^RUT,0
5,2010-01-05,10584.5595703125,10584.5595703125,10522.51953125,10572.01953125,188540000,^DJI,1
6,2010-01-05,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125,2491020000,^GSPC,1
7,2010-01-05,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2367860000,^IXIC,1
8,2010-01-05,7326.740234375,7359.4599609375,7313.60009765625,7354.8701171875,2491020000,^NYA,1
9,2010-01-05,639.6900024414062,641.8900146484375,635.9500122070312,638.489990234375,2491020000,^RUT,1
10,2010-01-06,10564.7197265625,10594.990234375,10546.5498046875,10573.6796875,186040000,^DJI,2
11,2010-01-06,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375,4972660000,^GSPC,2
12,2010-01-06,2307.7099609375,2314.070068359375,2295.679931640625,2301.090087890625,2253340000,^IXIC,2
13,2010-01-06,7354.85009765625,7389.27978515625,7342.490234375,7377.7001953125,4972660000,^NYA,2
14,2010-01-06,638.2899780273438,641.260009765625,636.4000244140625,637.9500122070312,4972660000,^RUT,2
15,2010-01-07,10571.1103515625,10612.3701171875,10505.2099609375,10606.8603515625,217390000,^DJI,3
16,2010-01-07,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625,5270680000,^GSPC,3
17,2010-01-07,2298.090087890625,2301.300048828125,2285.219970703125,2300.050048828125,2270050000,^IXIC,3
18,2010-01-07,7377.7001953125,7398.2099609375,7325.509765625,7393.93017578125,5270680000,^NYA,3
19,2010-01-07,638.1099853515625,642.0700073242188,632.739990234375,641.969970703125,5270680000,^RUT,3
20,2010-01-08,10606.400390625,10619.400390625,10554.330078125,10618.1904296875,172710000,^DJI,4
