date,ensemble
2018-01-02,1000000.0
2018-01-03,1002809.7523925784
2018-01-04,1007755.1958489992
2018-01-05,1013057.1528802492
2018-01-08,1013965.3020501712
2018-01-09,1014211.0287347414
2018-01-10,1013254.5210443116
2018-01-11,1022805.5349603272
2018-01-12,1028769.8687005616
2018-01-16,1023727.9712396242
2018-01-17,1031997.4520745852
2018-01-18,1028603.4895501712
2018-01-19,1035211.929369507
2018-01-22,1041572.7135491944
2018-01-23,1042386.4402337648
2018-01-24,1043646.3635736086
2018-01-25,1043961.066088257
2018-01-26,1052702.596972046
2018-01-29,1044373.7452874758
2018-01-30,1033104.7306390384
2018-01-31,1031806.4768548586
2018-02-01,1033220.7831292726
2018-02-02,1010582.6780267336
2018-02-05,1009572.7614901124
2018-02-06,1009572.7614901124
2018-02-07,1009572.7614901124
2018-02-08,975964.595595093
2018-02-09,974989.3058548586
2018-02-12,985621.1215281984
2018-02-13,986990.1684031984
2018-02-14,1001210.3554149172
2018-02-15,1010103.0888133548
2018-02-16,1011875.4940867922
2018-02-20,1003186.9745555422
2018-02-21,998880.460395386
2018-02-22,999757.8246531984
2018-02-23,1013180.9032664796
2018-02-26,1021902.6190867922
2018-02-27,1007619.0849071048
2018-02-28,994159.5277781984
2018-03-01,984729.0082469484
2018-03-02,989975.4657664796
2018-03-05,999437.161567261
2018-03-06,1003736.0297313236
2018-03-07,1004085.5331492922
2018-03-08,1006368.827582886
2018-03-09,1020490.1879344484
2018-03-12,1019561.9872508548
2018-03-13,1014184.7504344484
2018-03-14,1008837.2665477296
2018-03-15,1006795.2587352296
2018-03-16,1010429.9477000736
2018-03-19,999969.839301636
2018-03-20,1000778.7558055422
2018-03-21,1002976.675239136
2018-03-22,979034.632270386
2018-03-23,962302.1142039796
2018-03-26,982753.698676636
2018-03-27,970906.683051636
2018-03-28,971212.8944774172
2018-03-29,982415.6229930422
2018-04-02,962999.216254761
2018-04-03,974956.1586375736
2018-04-04,983567.061957886
2018-04-05,991690.8593211672
2018-04-06,973859.6337352296
2018-04-09,976085.858832886
2018-04-10,991364.5429149172
2018-04-11,988285.2001414796
2018-04-12,993740.9833446048
2018-04-13,990670.1737742922
2018-04-16,997494.3759227296
2018-04-17,1004414.4852977296
2018-04-18,1006592.556098511
2018-04-19,1001511.001411011
2018-04-20,996203.9354930422
2018-04-23,996224.624457886
2018-04-24,988832.5888133548
2018-04-25,988802.7562938236
2018-04-26,993952.343207886
2018-04-27,994522.323676636
2018-04-30,987841.2894969484
2018-05-01,987276.2206492922
2018-05-02,982757.0707469484
2018-05-03,980222.3915477296
2018-05-04,988903.9276805422
2018-05-07,992036.940864136
2018-05-08,992814.9926219484
2018-05-09,1001262.5062938236
2018-05-10,1008637.4188914796
2018-05-11,1010935.2602000736
2018-05-14,1010972.550239136
2018-05-15,1006464.4345164796
2018-05-16,1010699.3222117922
2018-05-17,1011841.4950633548
2018-05-18,1009940.2909617922
2018-05-21,1016775.9144969484
2018-05-22,1013074.620551636
2018-05-23,1011824.6200633548
2018-05-24,1008801.2313914796
2018-05-25,1004606.159614136
2018-05-29,991552.3964305422
2018-05-30,1006142.112739136
2018-05-31,998167.5712352296
2018-06-01,1005900.349067261
2018-06-04,1009994.7655711672
2018-06-05,1010148.3090281984
2018-06-06,1019220.6820750736
2018-06-07,1019026.3075633548
2018-06-08,1022384.3852000736
2018-06-11,1024260.528754761
2018-06-12,1024257.888129761
2018-06-13,1019762.6527781984
2018-06-14,1019754.985786011
2018-06-15,1017196.8358836672
2018-06-18,1016335.8339305422
2018-06-19,1011816.5316844484
2018-06-20,1013870.6000438236
2018-06-21,1006156.392036011
2018-06-22,1011035.6918406984
2018-06-25,997641.8207469484
2018-06-26,1000684.155707886
2018-06-27,991259.9516063236
2018-06-28,995993.6288524172
2018-06-29,997671.0302196048
2018-07-02,997698.2074656984
2018-07-03,998768.1229930422
2018-07-05,1007726.0998956304
2018-07-06,1019555.552495728
2018-07-09,1028753.9600885016
2018-07-10,1029485.0799429936
2018-07-11,1023383.2627409672
2018-07-12,1036903.3481789556
2018-07-13,1037605.1319255376
2018-07-16,1035462.6653728032
2018-07-17,1041488.1502360844
2018-07-18,1041815.4620036626
2018-07-19,1037780.1409587408
2018-07-20,1037147.6819743656
2018-07-23,1039595.4424724126
2018-07-24,1040452.6862773442
2018-07-25,1051924.0319804691
2018-07-26,1043201.9186992192
2018-07-27,1029442.249658936
2018-07-30,1016239.966455811
2018-07-31,1021626.1016020512
2018-08-01,1025337.2558989264
2018-08-02,1036365.3437895512
2018-08-03,1038128.5430083012
2018-08-06,1043874.842020264
2018-08-07,1047298.152078858
2018-08-08,1047610.6856350102
2018-08-09,1047642.9002539068
2018-08-10,1040544.560166016
2018-08-13,1037649.407485108
2018-08-14,1044175.7588410648
2018-08-15,1032259.5025874028
2018-08-16,1038026.3113937991
2018-08-17,1039731.627311768
2018-08-20,1040732.7967453618
2018-08-21,1045477.0283994144
2018-08-22,1048502.6185644536
2018-08-23,1046885.2670019536
2018-08-24,1055398.2408608403
2018-08-27,1065042.886856934
2018-08-28,1066523.0572670903
2018-08-29,1076061.7430051274
2018-08-30,1072883.3777932134
2018-08-31,1075226.8790070806
2018-09-04,1073043.5352570806
2018-09-05,1061999.778429688
2018-09-06,1053690.5897089848
2018-09-07,1050949.028065186
2018-09-10,1053164.7713828129
2018-09-11,1059335.2544116215
2018-09-12,1057352.4077652593
2018-09-13,1065000.9813719487
2018-09-14,1064625.154625245
2018-09-17,1050891.4990673834
2018-09-18,1058809.9188610844
2018-09-19,1058899.8133923344
2018-09-20,1069225.9501110844
2018-09-21,1064852.0649267582
2018-09-24,1064671.0387243656
2018-09-25,1065971.3844274906
2018-09-26,1063440.6092482917
2018-09-27,1069691.0234274906
2018-09-28,1070303.0739646
2018-10-01,1070170.5820212406
2018-10-02,1066371.324697022
2018-10-03,1069636.7250876469
2018-10-04,1051696.1252341312
2018-10-05,1040201.4665427252
2018-10-08,1034304.9291892096
2018-10-09,1034248.6838278814
2018-10-10,1002848.9091359868
2018-10-11,980821.4987395027
2018-10-12,988615.161397828
2018-10-15,987596.7275599372
2018-10-16,1011103.3349818124
2018-10-17,1007163.9637684334
2018-10-18,992510.9267811287
2018-10-19,990212.8613514412
2018-10-22,986371.6611561287
2018-10-23,980346.3316883552
2018-10-24,952207.504661988
2018-10-25,969389.022606324
2018-10-26,958155.219871949
2018-10-29,950388.4575428476
2018-10-30,967860.476463746
2018-10-31,975145.5882801522
2018-11-01,989185.4790272224
2018-11-02,986966.8149647224
2018-11-05,991829.3088612068
2018-11-06,998165.0457996834
2018-11-07,1017893.4046864022
