date,ensemble,dji
2018-04-06,973859.6337352296,964097.2587259389
2018-04-09,976085.858832886,965963.9935599773
2018-04-10,991364.5429149172,983241.6370460396
2018-04-11,988285.2001414796,974437.6290185921
2018-04-12,993740.9833446048,986264.9512470325
2018-04-13,990670.1737742922,981313.690052308
2018-04-16,997494.3759227296,989890.0014343158
2018-04-17,1004414.4852977296,998494.2438146411
2018-04-18,1006592.556098511,996940.8869138395
2018-04-19,1001511.001411011,993590.1112621484
2018-04-20,996203.9354930422,985454.7949380849
2018-04-23,996224.624457886,984880.7539135066
2018-04-24,988832.5888133548,967778.0135521203
2018-04-25,988802.7562938236,970182.9118467008
2018-04-26,993952.343207886,979790.9392313531
2018-04-27,994522.323676636,979341.7615710848
2018-04-30,987841.2894969484,973378.2180542354
2018-05-01,987276.2206492922,970796.0562689237
2018-05-02,982757.0707469484,963783.8807927022
2018-05-03,980222.3915477296,963992.1437576226
2018-05-04,988903.9276805422,977380.7694525832
2018-05-07,992036.940864136,981200.0777661937
2018-05-08,992814.9926219484,981316.522491574
2018-05-09,1001262.5062938236,988661.3522238149
2018-05-10,1008637.4188914796,996596.8242218876
2018-05-11,1010935.2602000736,1000288.436731922
2018-05-14,1010972.550239136,1003037.3977184544
2018-05-15,1006464.4345164796,995262.6666487278
2018-05-16,1010699.3222117922,997781.1772294228
2018-05-17,1011841.4950633548,995567.625943035
2018-05-18,1009940.2909617922,995612.3155403433
2018-05-21,1016775.9144969484,1007624.8478252335
2018-05-22,1013074.620551636,1000418.9649747642
2018-05-23,1011824.6200633548,1002529.8403377589
2018-05-24,1008801.2313914796,999506.5261367661
2018-05-25,1004606.159614136,997143.0916058853
2018-05-29,991552.3964305422,981366.4048942032
2018-05-30,1006142.112739136,993706.4773086603
2018-05-31,998167.5712352296,983557.4540241999
2018-06-01,1005900.349067261,992394.5071764176
2018-06-04,1009994.7655711672,999584.2608588444
2018-06-05,1010148.3090281984,999032.0138808407
2018-06-06,1019220.6820750736,1012986.6553557925
2018-06-07,1019026.3075633548,1016814.3823083326
2018-06-08,1022384.3852000736,1019840.450269723
2018-06-11,1024260.528754761,1020073.339720484
2018-06-12,1024257.888129761,1020009.6885158671
2018-06-13,1019762.6527781984,1015194.5417636483
2018-06-14,1019754.985786011,1014151.6533616766
2018-06-15,1017196.8358836672,1010734.3940661027
2018-06-18,1016335.8339305422,1006584.791862528
2018-06-19,1011816.5316844484,995012.9399201078
2018-06-20,1013870.6000438236,993304.5069694922
2018-06-21,1006156.392036011,985404.8338565872
2018-06-22,1011035.6918406984,990206.290485687
2018-06-25,997641.8207469484,976989.6567972681
2018-06-26,1000684.155707886,978210.5954786559
2018-06-27,991259.9516063236,971542.8760887287
2018-06-28,995993.6288524172,975509.2352075663
2018-06-29,997671.0302196048,977739.309056339
2018-07-02,997698.2074656984,979180.2338540538
2018-07-03,998768.1229930422,973848.3242935247
2018-07-05,1007726.0998956304,981176.710142249
2018-07-06,1019555.552495728,985194.6039199543
2018-07-09,1028753.9600885016,998089.755751681
2018-07-10,1029485.0799429936,1003853.1402270657
2018-07-11,1023383.2627409672,995022.538742065
2018-07-12,1036903.3481789556,1004063.8422369094
2018-07-13,1037605.1319255376,1007871.4273991134
2018-07-16,1035462.6653728032,1009682.1428787794
2018-07-17,1041488.1502360844,1011919.1404679804
2018-07-18,1041815.4620036626,1015117.5938302547
2018-07-19,1037780.1409587408,1009687.8077573115
2018-07-20,1037147.6819743656,1009430.763893921
2018-07-23,1039595.4424724126,1008873.6388260704
2018-07-24,1040452.6862773442,1016835.7042816962
2018-07-25,1051924.0319804691,1023770.9318245245
2018-07-26,1043201.9186992192,1028321.7962574507
2018-07-27,1029442.249658936,1025259.8507320243
2018-07-30,1016239.966455811,1019449.7310087505
2018-07-31,1021626.1016020512,1023814.8346331475
2018-08-01,1025337.2558989264,1020536.9942925562
2018-08-02,1036365.3437895512,1020228.4157702979
2018-08-03,1038128.5430083012,1025723.8986984391
2018-08-06,1043874.842020264,1027319.1127572829
2018-08-07,1047298.152078858,1032424.269818794
2018-08-08,1047610.6856350102,1030605.0570213299
2018-08-09,1047642.9002539068,1027603.143472569
2018-08-10,1040544.560166016,1019703.9424328749
2018-08-13,1037649.407485108,1014650.7134245741
2018-08-14,1044175.7588410648,1019171.3651719963
2018-08-15,1032259.5025874028,1013631.979435232
2018-08-16,1038026.3113937991,1029597.1807158408
2018-08-17,1039731.627311768,1034052.1356080654
2018-08-20,1040732.7967453618,1037652.2445940339
2018-08-21,1045477.0283994144,1040214.2645890096
2018-08-22,1048502.6185644536,1036641.5358492789
2018-08-23,1046885.2670019536,1033555.0425168804
2018-08-24,1055398.2408608403,1038927.6290524239
2018-08-27,1065042.886856934,1049372.7995979195
2018-08-28,1066523.0572670903,1049952.0334278187
2018-08-29,1076061.7430051274,1052391.2357090653
2018-08-30,1072883.3777932134,1046846.1850937691
2018-08-31,1075226.8790070806,1045955.9336966882
2018-09-04,1073043.5352570806,1045458.8406055032
2018-09-05,1061999.778429688,1046365.6145649691
2018-09-06,1053690.5897089848,1047206.6916692376
2018-09-07,1050949.028065186,1044010.9920673603
2018-09-10,1053164.7713828129,1041615.3778792629
2018-09-11,1059335.2544116215,1046207.3126815466
2018-09-12,1057352.4077652593,1047329.5880618349
2018-09-13,1065000.9813719487,1053254.1068599082
2018-09-14,1064625.154625245,1053603.7557515237
2018-09-17,1050891.4990673834,1049875.478888768
2018-09-18,1058809.9188610844,1057321.5683247687
2018-09-19,1058899.8133923344,1063718.5537281863
2018-09-20,1069225.9501110844,1073838.6231890386
2018-09-21,1064852.0649267582,1077323.9397058655
2018-09-24,1064671.0387243656,1070014.5154644495
2018-09-25,1065971.3844274906,1067201.1164846155
2018-09-26,1063440.6092482917,1062893.5271130921
2018-09-27,1069691.0234274906,1065095.0405325994
2018-09-28,1070303.0739646,1065835.4873640556
2018-10-01,1070170.5820212406,1073606.205811489
2018-10-02,1066371.324697022,1078550.1498714427
2018-10-03,1069636.7250876469,1080743.638046363
2018-10-04,1051696.1252341312,1072650.25755921
2018-10-05,1040201.4665427252,1065381.9036871514
2018-10-08,1034304.9291892096,1066982.3105513162
2018-10-09,1034248.6838278814,1064718.011394746
2018-10-10,1002848.9091359868,1031208.9173370695
2018-10-11,980821.4987395027,1009217.7015180221
2018-10-12,988615.161397828,1020785.5408381488
2018-10-15,987596.7275599372,1017182.599412914
2018-10-16,1011103.3349818124,1039252.7301370673
2018-10-17,1007163.9637684334,1035557.1050047391
2018-10-18,992510.9267811287,1022375.0900184605
2018-10-19,990212.8613514412,1024989.1167455148
2018-10-22,986371.6611561287,1019875.9344394166
2018-10-23,980346.3316883552,1014800.9900634097
2018-10-24,952207.504661988,990308.179620395
2018-10-25,969389.022606324,1006467.1669541198
2018-10-26,958155.219871949,994533.5495743355
2018-10-29,950388.4575428476,984648.3365359566
2018-10-30,967860.476463746,1002039.5923081336
2018-10-31,975145.5882801522,1011752.7346611022
2018-11-01,989185.4790272224,1022427.0967505391
2018-11-02,986966.8149647224,1017999.5221045528
2018-11-05,991829.3088612068,1025688.4145287455
2018-11-06,998165.0457996834,1032669.9839251203
2018-11-07,1017893.4046864022,1054636.2585428532
2018-11-08,1017335.9570545662,1055076.1520966385
2018-11-09,1005968.6853260506,1046942.094634471
2018-11-12,983774.4472889412,1022686.5009799846
2018-11-13,980306.6535877694,1018630.3692721883
2018-11-14,972333.1291737068,1010332.3450480661
2018-11-15,982364.0638660896,1018742.3293020641
2018-11-16,986313.1316151132,1023735.5263336994
2018-11-19,969421.9511951912,1007792.0404207965
2018-11-20,949211.2854237068,985563.6078132207
2018-11-21,953291.0691151132,985525.2912042611
2018-11-23,948729.0282215584,978324.9945534554
2018-11-26,961621.2148670662,992597.1052628058
2018-11-27,961651.6661610116,996967.4803713926
2018-11-28,985703.6100086678,1021850.6166810372
2018-11-29,983923.406151246,1020739.198984602
2018-11-30,990791.995628785,1028780.6514185447
2018-12-03,1001621.1406483162,1040381.0637902302
2018-12-04,966309.0752186287,1008180.0059213717
2018-12-06,963533.2523426522,1004981.4738802285
2018-12-07,942761.3395008552,982474.2033626876
2018-12-10,942590.5457996834,983856.3550456325
2018-12-11,940579.4342274178,981720.5384813232
2018-12-12,947897.653465699,988046.2408298795
2018-12-13,944902.489036988,990870.5761724351
2018-12-14,927321.2934803476,970854.8293836935
2018-12-17,907166.812401246,950409.7320095456
2018-12-18,909111.5047840584,953739.5790822158
2018-12-19,894006.6469959725,939560.545474301
2018-12-20,876993.0869373787,920866.524997496
2018-12-21,859000.2574696053,904179.8384927395
2018-12-24,836656.6461414803,877867.8152522605
2018-12-26,878294.7192615975,921625.8547573925
2018-12-27,885492.473778199,932114.5347171688
2018-12-28,884804.8766102303,929036.0666293572
2018-12-31,893962.7739490975,939713.6545524027
2019-01-02,896016.5804676522,940470.151873033
2019-01-03,873514.0160145272,913882.2018407235
2019-01-04,903567.4111561287,943971.5975579023
2019-01-07,911364.3958973396,947927.0203140185
2019-01-08,922534.3371815194,958243.6295883844
2019-01-09,927529.1372303476,961936.4222814464
2019-01-10,932132.0165028084,966883.2774595348
2019-01-11,932392.1178211678,966642.7561585294
2019-01-14,927049.8755115976,963173.9622040878
2019-01-15,933742.6867908944,969448.1298937765
2019-01-16,939442.750755738,975151.0889981529
2019-01-17,946352.3369373787,981714.8736027912
2019-01-18,958343.0869373787,995260.2276038044
2019-01-22,945158.828880738,983099.8577250021
2019-01-23,948928.9768299568,989993.9362196047
2019-01-24,950509.0804676522,989092.4337443281
2019-01-25,959219.7215809334,996502.9603317667
2019-01-28,951803.2636951912,988084.5574388391
2019-01-29,952703.321068238,990168.8393442809
2019-01-30,967310.04836316,1007688.1056355078
2019-01-31,969573.3844227304,1007076.2200751809
2019-02-01,971803.3137440194,1009663.2599503394
2019-02-04,979665.1230701912,1016732.1628907498
2019-02-05,984713.9907459724,1023666.9970392355
2019-02-06,983691.581566285,1022812.229811848
2019-02-07,975312.4498524178,1013918.7639109157
2019-02-08,973831.152244996,1011372.8730839826
2019-02-11,975129.0766834724,1009228.9525962177
2019-02-12,988918.2368397224,1024240.6446694712
2019-02-13,992976.71242566,1028974.3587927924
2019-02-14,990738.0802235116,1024789.744492735
2019-02-15,1007420.2470936287,1042669.9894326412
2019-02-19,1008741.9289783944,1042995.0905172845
2019-02-20,1011914.5101551522,1045537.7555106089
2019-02-21,1007914.0598377694,1041355.9736498175
2019-02-22,1015715.3637928476,1048654.5402073802
2019-02-25,1017012.7192615976,1051077.141247373
2019-02-26,1013716.2251209724,1049708.7583664157
2019-02-27,1012583.3215565194,1046775.2954332504
