account_rewards,date
-7205.068227050593,2021-04-06
4899.580074951053,2021-04-07
7501.3583984375,2021-04-08
2255.8037109375,2021-04-09
-1604.2529296875,2021-04-12
4028.798828125,2021-04-13
12532.576171875,2021-04-14
7445.17626953125,2021-04-15
-8446.37060546875,2021-04-16
-17463.88623046875,2021-04-19
18977.47998046875,2021-04-20
-9774.39501953125,2021-04-21
18810.83740234375,2021-04-22
3774.916015625,2021-04-23
3433.75830078125,2021-04-26
5220.2333984375,2021-04-27
5792.392578125,2021-04-28
-16793.98193359375,2021-04-29
11343.876953125,2021-04-30
-3876.865234375,2021-05-03
6330.9765625,2021-05-04
11931.3017578125,2021-05-05
14029.79833984375,2021-05-06
-7919.328125,2021-05-07
-17285.7958984375,2021-05-10
-33542.65185546875,2021-05-11
14886.0966796875,2021-05-12
25070.40576171875,2021-05-13
802.80712890625,2021-05-14
-9155.1201171875,2021-05-17
-11184.03662109375,2021-05-18
12576.33740234375,2021-05-19
2623.56884765625,2021-05-20
9637.96142578125,2021-05-21
-7980.419921875,2021-05-24
6617.4091796875,2021-05-25
8563.6357421875,2021-05-26
2540.30029296875,2021-05-27
9377.56689453125,2021-05-28
3284.626953125,2021-06-01
-4468.72705078125,2021-06-02
8211.8818359375,2021-06-03
56.6083984375,2021-06-04
-2548.03369140625,2021-06-07
-7014.1201171875,2021-06-08
3382.60693359375,2021-06-09
4662.759765625,2021-06-10
-3470.8349609375,2021-06-11
-715.76318359375,2021-06-14
-12119.3232421875,2021-06-15
-14030.54345703125,2021-06-16
-28699.33056640625,2021-06-17
28737.5791015625,2021-06-18
3983.78466796875,2021-06-21
-1222.14306640625,2021-06-22
12970.396484375,2021-06-23
10732.3916015625,2021-06-24
-9092.40478515625,2021-06-25
-2796.90185546875,2021-06-28
838.0849609375,2021-06-29
9182.85205078125,2021-06-30
3658.48779296875,2021-07-01
