account_rewards,date
11516.6416015625,2019-10-03
-4250.9560546875,2019-10-04
-14759.576171875,2019-10-07
7919.75,2019-10-08
5912.34765625,2019-10-09
12712.673828125,2019-10-10
-2425.3154296875,2019-10-11
8675.8046875,2019-10-14
-880.880859375,2019-10-15
3502.9248046875,2019-10-16
-2574.6748046875,2019-10-17
6475.685546875,2019-10-18
-1323.25,2019-10-21
3359.814453125,2019-10-22
356.3486328125,2019-10-23
2159.84765625,2019-10-24
3174.966796875,2019-10-25
1832.8154296875,2019-10-28
2716.0107421875,2019-10-29
-5703.8154296875,2019-10-30
10148.3369140625,2019-10-31
4358.5009765625,2019-11-01
-1252.1962890625,2019-11-04
946.45703125,2019-11-05
3474.3798828125,2019-11-06
967.75,2019-11-07
-1554.6953125,2019-11-08
-39.5,2019-11-11
-203.0546875,2019-11-12
549.0654296875,2019-11-13
7975.8369140625,2019-11-14
-722.880859375,2019-11-15
-1379.3369140625,2019-11-18
-3716.9345703125,2019-11-19
-1017.5107421875,2019-11-20
2727.8916015625,2019-11-21
7263.216796875,2019-11-22
2118.8046875,2019-11-25
3784.90234375,2019-11-26
-4930.40234375,2019-11-27
-7659.0654296875,2019-11-29
-6491.423828125,2019-12-02
7258.5107421875,2019-12-03
1922.076171875,2019-12-04
8373.228515625,2019-12-05
-2624.3583984375,2019-12-06
-771.0986328125,2019-12-09
2734.2177734375,2019-12-10
9281.728515625,2019-12-11
-5.5546875,2019-12-12
7727.033203125,2019-12-13
15.73828125,2019-12-16
304.9677734375,2019-12-17
2564.3369140625,2019-12-18
4548.826171875,2019-12-19
848.478515625,2019-12-20
-383.1962890625,2019-12-23
3577.1416015625,2019-12-24
293.8583984375,2019-12-26
-5371.1513671875,2019-12-27
2913.5107421875,2019-12-30
7067.3369140625,2019-12-31
