account_rewards,date
31138.328857421875,2019-01-03
4217.067370117176,2019-01-04
10613.378565551713,2019-01-07
3825.047607421875,2019-01-08
5087.230224609375,2019-01-09
-244.5263671875,2019-01-10
-3649.12353515625,2019-01-11
6656.326223144541,2019-01-14
5748.3680124512175,2019-01-15
6815.47607421875,2019-01-16
13971.25,2019-01-17
-12641.91650390625,2019-01-18
6675.926418456947,2019-01-22
-610.95556640625,2019-01-23
7874.677734375,2019-01-24
-8619.81884765625,2019-01-25
1930.9410375977168,2019-01-28
18025.706772705074,2019-01-29
-263.3143325195415,2019-01-30
2606.4076844482915,2019-01-31
7292.7398933104705,2019-02-01
7078.463134765625,2019-02-04
-940.09765625,2019-02-05
-9343.358363036998,2019-02-06
-2577.5537414551945,2019-02-07
-2100.025634765625,2019-02-08
15429.964599609491,2019-02-11
4824.891357421875,2019-02-12
-4264.656982421875,2019-02-13
18202.4267578125,2019-02-14
385.211181640625,2019-02-15
2598.86474609375,2019-02-19
-4299.644775390625,2019-02-20
7514.0380859375,2019-02-21
2457.149658203125,2019-02-22
-1577.4625634765252,2019-02-25
-421.6778911133297,2019-02-26
-3129.00537109375,2019-02-27
4752.001401367364,2019-02-28
-7353.400553100742,2019-03-01
-1407.760498046875,2019-03-04
-8400.400512695312,2019-03-05
-8573.921932128724,2019-03-06
-1527.3939403076656,2019-03-07
9905.173990722746,2019-03-08
-2347.485107421875,2019-03-11
6469.96630859375,2019-03-12
8.40771484375,2019-03-13
5691.75,2019-03-14
3083.947315917816,2019-03-15
-1063.1736345214304,2019-03-18
-5401.97802734375,2019-03-19
9535.75469152839,2019-03-20
-19494.825927734375,2019-03-21
335.7822265625,2019-03-22
6212.9130859375,2019-03-25
-2010.5984825440682,2019-03-26
3839.852647949243,2019-03-27
8513.274780273438,2019-03-28
13504.930963134859,2019-03-29
-2692.32470703125,2019-04-01
1757.19384765625,2019-04-02
