date,^DJI,^GSPC,^IXIC,^NYA,^RUT
2020-07-06,0,100,-100,0,0
2020-07-07,40,-100,0,0,1
2020-07-08,-40,100,0,0,-1
2020-07-09,28,1,0,0,0
2020-07-10,-28,100,0,0,33
2020-07-13,0,-47,1,42,-1
2020-07-14,0,-243,-1,-42,-32
2020-07-15,0,0,0,0,0
2020-07-16,0,1,21,90,0
2020-07-17,0,100,-21,-90,0
2020-07-20,0,0,0,81,5
2020-07-21,0,100,0,-81,-5
2020-07-22,30,-42,0,1,0
2020-07-23,-30,100,0,-1,0
2020-07-24,0,0,47,0,5
2020-07-27,0,100,-47,0,-5
2020-07-28,0,-6,18,0,0
2020-07-29,0,61,-18,0,0
2020-07-30,0,0,0,0,0
2020-07-31,0,0,0,0,0
2020-08-03,0,0,0,0,0
2020-08-04,0,0,0,0,0
2020-08-05,0,0,0,0,0
2020-08-06,0,0,0,0,0
2020-08-07,0,0,0,0,0
2020-08-10,0,0,0,0,0
2020-08-11,0,0,0,0,0
2020-08-12,0,0,0,0,0
2020-08-13,0,0,0,0,0
2020-08-14,0,0,0,0,0
2020-08-17,0,0,0,0,0
2020-08-18,0,0,0,0,0
2020-08-19,0,0,0,0,0
2020-08-20,0,0,0,0,0
2020-08-21,0,0,0,0,0
2020-08-24,0,0,0,0,0
2020-08-25,0,0,0,0,0
2020-08-26,0,0,0,0,0
2020-08-27,0,0,0,0,0
2020-08-28,0,0,0,0,0
2020-08-31,0,0,0,0,0
2020-09-01,0,0,0,0,0
2020-09-02,0,0,0,0,0
2020-09-03,0,0,0,0,0
2020-09-04,0,0,0,0,0
2020-09-08,0,0,0,0,0
2020-09-09,0,0,0,0,0
2020-09-10,0,0,0,0,0
2020-09-11,0,0,0,0,0
2020-09-14,0,0,0,0,0
2020-09-15,0,0,0,0,0
2020-09-16,0,0,0,0,0
2020-09-17,0,0,0,0,0
2020-09-18,0,0,0,0,0
2020-09-21,0,-414,0,0,0
2020-09-22,0,0,0,0,0
2020-09-23,45,0,0,0,100
2020-09-24,-45,100,0,0,44
2020-09-25,0,0,75,0,3
2020-09-28,0,100,-75,0,-54
2020-09-29,21,0,0,0,1
2020-09-30,-21,100,0,0,-32
