account_rewards,date
-5219.775570312049,2021-07-06
-13709.866442382801,2021-07-07
21228.83642578125,2021-07-08
3318.36083984375,2021-07-09
-12008.048828125,2021-07-12
-8792.9189453125,2021-07-13
-11735.36083984375,2021-07-14
-15407.00341796875,2021-07-15
-19783.4462890625,2021-07-16
31515.7412109375,2021-07-19
19027.77880859375,2021-07-20
-215.255859375,2021-07-21
16348.05859375,2021-07-22
1480.396484375,2021-07-23
-21336.4345703125,2021-07-26
14996.001953125,2021-07-27
3841.72021484375,2021-07-28
-12363.39208984375,2021-07-29
-841.609375,2021-07-30
9025.6455078125,2021-08-02
-2331.73876953125,2021-08-03
17227.4658203125,2021-08-04
-3948.4541015625,2021-08-05
374.43994140625,2021-08-06
-6292.00732421875,2021-08-09
-535.251953125,2021-08-10
3993.068359375,2021-08-11
-2583.693359375,2021-08-12
-4925.68017578125,2021-08-13
-18321.0166015625,2021-08-16
-15468.18798828125,2021-08-17
-2519.10791015625,2021-08-18
22186.1484375,2021-08-19
28382.84521484375,2021-08-20
10965.412109375,2021-08-23
3427.32958984375,2021-08-24
-13211.591796875,2021-08-25
27546.1396484375,2021-08-26
11511.16943359375,2021-08-27
553.13134765625,2021-08-30
6910.2119140625,2021-08-31
4726.4150390625,2021-09-01
1293.58935546875,2021-09-02
-1483.1279296875,2021-09-03
-12491.51123046875,2021-09-07
-3816.2109375,2021-09-08
-16200.99169921875,2021-09-09
1076.1318359375,2021-09-10
-11321.77783203125,2021-09-13
15774.11474609375,2021-09-14
1740.6298828125,2021-09-15
-12771.29736328125,2021-09-16
-40435.93115234375,2021-09-17
3765.4169921875,2021-09-20
19580.11376953125,2021-09-21
21306.8076171875,2021-09-22
-2129.75927734375,2021-09-23
-2468.64599609375,2021-09-24
-48947.00927734375,2021-09-27
-4009.58349609375,2021-09-28
-9419.205078125,2021-09-29
17195.6552734375,2021-09-30
