date,^DJI,^GSPC,^IXIC,^NYA,^RUT
2021-10-04,-39,0,0,68,100
2021-10-05,0,0,0,0,1
2021-10-06,0,0,0,0,0
2021-10-07,0,0,0,0,0
2021-10-08,0,0,54,-62,100
2021-10-11,0,0,-28,-41,100
2021-10-12,0,0,24,-4,100
2021-10-13,0,0,9,0,100
2021-10-14,0,0,0,0,3
2021-10-15,0,0,0,0,0
2021-10-18,0,0,-59,0,100
2021-10-19,0,0,28,0,100
2021-10-20,5,0,-28,1,100
2021-10-21,0,0,0,0,2
2021-10-22,-5,0,0,0,78
2021-10-25,0,0,0,0,0
2021-10-26,0,0,0,-1,7
2021-10-27,0,0,0,0,0
2021-10-28,0,0,0,0,0
2021-10-29,0,0,0,0,0
2021-11-01,0,0,0,0,0
2021-11-02,0,0,0,0,0
2021-11-03,0,0,0,0,0
2021-11-04,0,0,0,0,0
2021-11-05,0,0,0,0,0
2021-11-08,0,0,0,0,0
2021-11-09,0,0,0,0,0
2021-11-10,0,0,0,0,0
2021-11-11,0,0,0,0,0
2021-11-12,0,0,0,0,0
2021-11-15,0,0,0,0,0
2021-11-16,0,0,0,0,0
2021-11-17,0,0,0,0,0
2021-11-18,0,0,0,0,0
2021-11-19,0,0,0,0,0
2021-11-22,0,0,0,0,0
2021-11-23,0,0,0,0,0
2021-11-24,0,0,0,0,0
2021-11-26,0,0,0,0,0
2021-11-29,0,0,0,0,0
2021-11-30,0,0,0,0,0
2021-12-01,0,0,0,0,0
2021-12-02,0,0,0,0,0
2021-12-03,0,0,0,0,0
2021-12-06,0,0,0,0,0
2021-12-07,0,0,0,0,0
2021-12-08,0,0,0,0,0
2021-12-09,0,0,0,0,0
2021-12-10,0,0,0,0,0
2021-12-13,0,0,0,0,0
2021-12-14,0,0,0,0,0
2021-12-15,0,0,0,0,0
2021-12-16,0,0,0,0,0
2021-12-17,0,0,0,0,0
2021-12-20,0,0,0,0,0
2021-12-21,0,0,0,0,0
2021-12-22,0,0,0,0,0
2021-12-23,0,0,0,0,0
2021-12-27,0,0,0,0,0
2021-12-28,0,0,0,0,0
2021-12-29,0,0,0,0,0
2021-12-30,0,0,0,0,0
