account_rewards,date
2809.752392578288,2018-01-02
4945.443456420908,2018-01-03
5301.95703125,2018-01-04
908.149169921875,2018-01-05
245.7266845703125,2018-01-08
-956.5076904296875,2018-01-09
9551.013916015625,2018-01-10
5964.333740234375,2018-01-11
-5041.8974609375,2018-01-12
8269.480834960938,2018-01-16
-3393.9625244140625,2018-01-17
6608.4398193359375,2018-01-18
6360.7841796875,2018-01-19
813.7266845703125,2018-01-22
1259.92333984375,2018-01-23
314.7025146484375,2018-01-24
8741.530883788946,2018-01-25
-8328.851684570196,2018-01-26
-11269.0146484375,2018-01-29
-1298.2537841796875,2018-01-30
1414.3062744140625,2018-01-31
-22638.105102539062,2018-02-01
-1009.9165366211673,2018-02-02
0.0,2018-02-05
0.0,2018-02-06
-33608.165895019425,2018-02-07
-975.2897402343806,2018-02-08
10631.81567333988,2018-02-09
1369.046875,2018-02-12
14220.18701171875,2018-02-13
8892.7333984375,2018-02-14
1772.4052734375,2018-02-15
-8688.51953125,2018-02-16
-4306.51416015625,2018-02-20
877.3642578125,2018-02-21
13423.07861328125,2018-02-22
8721.7158203125,2018-02-23
-14283.5341796875,2018-02-26
-13459.55712890625,2018-02-27
-9430.51953125,2018-02-28
5246.45751953125,2018-03-01
9461.69580078125,2018-03-02
4298.8681640625,2018-03-05
349.50341796875,2018-03-06
2283.29443359375,2018-03-07
14121.3603515625,2018-03-08
-928.20068359375,2018-03-09
-5377.23681640625,2018-03-12
-5347.48388671875,2018-03-13
-2042.0078125,2018-03-14
3634.68896484375,2018-03-15
-10460.1083984375,2018-03-16
808.91650390625,2018-03-19
2197.91943359375,2018-03-20
-23942.04296875,2018-03-21
-16732.51806640625,2018-03-22
20451.58447265625,2018-03-23
-11847.015625,2018-03-26
306.21142578125,2018-03-27
11202.728515625,2018-03-28
-19416.40673828125,2018-03-29
11956.9423828125,2018-04-02
