account_rewards,date
3265.400390625,2018-10-02
-17940.599853515625,2018-10-03
-11494.658691406134,2018-10-04
-5896.537353515625,2018-10-05
-56.245361328125,2018-10-08
-31399.774691894418,2018-10-09
-22027.410396484192,2018-10-10
7793.662658325164,2018-10-11
-1018.433837890625,2018-10-12
23506.607421875,2018-10-15
-3939.3712133788504,2018-10-16
-14653.036987304688,2018-10-17
-2298.0654296875,2018-10-18
-3841.2001953125,2018-10-19
-6025.3294677734375,2018-10-22
-28138.827026367188,2018-10-23
17181.517944335938,2018-10-24
-11233.802734375,2018-10-25
-7766.7623291015625,2018-10-26
17472.018920898438,2018-10-29
7285.11181640625,2018-10-30
14039.890747070312,2018-10-31
-2218.6640625,2018-11-01
4862.493896484375,2018-11-02
6335.7369384765625,2018-11-05
19728.35888671875,2018-11-06
-557.4476318359375,2018-11-07
-11367.271728515625,2018-11-08
-22194.238037109375,2018-11-09
-3467.793701171875,2018-11-12
-7973.5244140625,2018-11-13
10030.934692382812,2018-11-14
3949.0677490234375,2018-11-15
-16891.180419921875,2018-11-16
-20210.665771484375,2018-11-19
4079.78369140625,2018-11-20
-4562.0408935546875,2018-11-21
12892.186645507812,2018-11-23
30.4512939453125,2018-11-26
24051.94384765625,2018-11-27
-1780.203857421875,2018-11-28
6868.5894775390625,2018-11-29
10829.14501953125,2018-11-30
-35312.0654296875,2018-12-03
-2775.8228759765625,2018-12-04
-20771.912841796875,2018-12-06
-170.793701171875,2018-12-07
-2011.111572265625,2018-12-10
7318.21923828125,2018-12-11
-2995.1644287109375,2018-12-12
-17581.195556640625,2018-12-13
-20154.481079101562,2018-12-14
1944.6923828125,2018-12-17
-15104.857788085938,2018-12-18
-17013.56005859375,2018-12-19
-17992.829467773438,2018-12-20
-22343.611328125,2018-12-21
41638.07312011719,2018-12-24
7197.7545166015625,2018-12-26
-687.59716796875,2018-12-27
9157.897338867188,2018-12-28
2053.8065185546875,2018-12-31
