account_rewards,date
15309.191405761754,2021-01-04
-484.52708361810073,2021-01-05
39218.533447265625,2021-01-06
13997.77197265625,2021-01-07
-17945.12451171875,2021-01-08
7619.945068359375,2021-01-11
4489.225830078125,2021-01-12
2619.853759765625,2021-01-13
-15574.246826171875,2021-01-14
24279.34033203125,2021-01-15
29045.096435546875,2021-01-19
6016.0771484375,2021-01-20
4073.485595703125,2021-01-21
9482.022705078125,2021-01-22
-2426.912841796875,2021-01-25
-42546.8515625,2021-01-26
6977.46484375,2021-01-27
-32108.72216796875,2021-01-28
41236.03759765625,2021-01-29
25167.470458984375,2021-02-01
592.315673828125,2021-02-02
22372.338134765625,2021-02-03
11606.359375,2021-02-04
19884.126220703125,2021-02-05
3099.778076171875,2021-02-08
-5470.91748046875,2021-02-09
6040.732666015625,2021-02-10
7935.6650390625,2021-02-11
-6844.22216796875,2021-02-12
-10551.81298828125,2021-02-16
-14623.76904296875,2021-02-17
5861.062744140625,2021-02-18
-38449.904052734375,2021-02-19
-9323.518798828125,2021-02-22
19699.16162109375,2021-02-23
-60187.5302734375,2021-02-24
7964.244384765625,2021-02-25
50321.16259765625,2021-02-26
-29269.14013671875,2021-03-01
-41388.041259765625,2021-03-02
-35770.1513671875,2021-03-03
25815.8056640625,2021-03-04
-32499.17333984375,2021-03-05
54433.384765625,2021-03-08
3563.661865234375,2021-03-09
40961.573974609375,2021-03-10
-7072.18359375,2021-03-11
15849.1259765625,2021-03-12
-2824.72216796875,2021-03-15
7495.884521484375,2021-03-16
-51124.0498046875,2021-03-17
12715.5498046875,2021-03-18
15436.6728515625,2021-03-19
-24378.867919921875,2021-03-22
-33900.951171875,2021-03-23
6639.18408203125,2021-03-24
21267.83056640625,2021-03-25
-14883.453369140625,2021-03-26
2208.9716796875,2021-03-29
24256.607666015625,2021-03-30
28561.3134765625,2021-03-31
25461.774169921875,2021-04-01
