account_value,date,daily_return
1066371.3246970219,2018-10-02,
1069636.7250876469,2018-10-03,0.0030621607267551365
1051696.1252341312,2018-10-04,-0.0167726102074941
1040201.4665427251,2018-10-05,-0.010929638719404
1034304.9291892095,2018-10-08,-0.005668649336857512
1034248.6838278814,2018-10-09,-5.437986394618566e-05
1002848.9091359869,2018-10-10,-0.030359985159159164
980821.4987395027,2018-10-11,-0.02196483457858278
988615.1613978279,2018-10-12,0.007946056105357702
987596.7275599373,2018-10-15,-0.0010301620667546585
1011103.3349818123,2018-10-16,0.023801827978868317
1007163.9637684334,2018-10-17,-0.0038961113835607186
992510.9267811287,2018-10-18,-0.014548809840731813
990212.8613514412,2018-10-19,-0.0023154056722987093
986371.6611561287,2018-10-22,-0.003879166132088052
980346.3316883553,2018-10-23,-0.006108579255725055
952207.5046619881,2018-10-24,-0.028702945190712814
969389.022606324,2018-10-25,0.018043879994870338
958155.219871949,2018-10-26,-0.011588539247299856
950388.4575428475,2018-10-29,-0.00810595420034299
967860.4764637459,2018-10-30,0.018384081563943777
975145.5882801522,2018-10-31,0.007527026873773934
989185.4790272225,2018-11-01,0.014397738056562748
986966.8149647225,2018-11-02,-0.002242920169715612
991829.3088612069,2018-11-05,0.004926704548478877
998165.0457996834,2018-11-06,0.006387930747631554
1017893.4046864022,2018-11-07,0.019764626070344127
1017335.9570545662,2018-11-08,-0.0005476483384895259
1005968.6853260506,2018-11-09,-0.011173567246582583
983774.4472889412,2018-11-12,-0.022062553597198553
980306.6535877694,2018-11-13,-0.0035249885893340327
972333.1291737069,2018-11-14,-0.008133704269863595
982364.0638660897,2018-11-15,0.01031635598069891
986313.1316151131,2018-11-16,0.004019963569801055
969421.9511951912,2018-11-19,-0.017125575923603642
949211.2854237069,2018-11-20,-0.0208481618830344
953291.0691151131,2018-11-21,0.004298077523999355
948729.0282215584,2018-11-23,-0.00478556973977462
961621.2148670662,2018-11-26,0.013588902902733846
961651.6661610116,2018-11-27,3.16666203641347e-05
985703.6100086678,2018-11-28,0.025011076977252467
983923.4061512459,2018-11-29,-0.0018060234733301428
990791.995628785,2018-11-30,0.0069808172410559255
1001621.1406483162,2018-12-03,0.010929786541784559
966309.0752186287,2018-12-04,-0.03525491225837263
963533.2523426522,2018-12-06,-0.00287260354597052
942761.3395008553,2018-12-07,-0.021558065371686808
942590.5457996834,2018-12-10,-0.00018116324250450067
940579.4342274178,2018-12-11,-0.002133600407119962
947897.653465699,2018-12-12,0.007780543537284856
944902.4890369881,2018-12-13,-0.00315979728165805
927321.2934803475,2018-12-14,-0.01860635966210522
907166.8124012459,2018-12-17,-0.02173408636337837
909111.5047840584,2018-12-18,0.0021436987731782153
894006.6469959725,2018-12-19,-0.016614967150452853
876993.0869373787,2018-12-20,-0.019030686310624656
859000.2574696053,2018-12-21,-0.020516500911777702
836656.6461414803,2018-12-24,-0.026011181176992415
878294.7192615975,2018-12-26,0.04976721730729672
885492.473778199,2018-12-27,0.00819514720827752
884804.8766102303,2018-12-28,-0.0007765138477517919
893962.7739490975,2018-12-31,0.0103501885906776
896016.5804676522,2019-01-02,0.0022974183919113322
