account_rewards,date
1955.25,2020-01-03
-3424.619140625,2020-01-06
2843.228515625,2020-01-07
4993.5869140625,2020-01-08
-3134.7724609375,2020-01-09
6689.7724609375,2020-01-10
-436.1201171875,2020-01-13
1271.9462890625,2020-01-14
6995.4345703125,2020-01-15
3272.173828125,2020-01-16
-5784.3583984375,2020-01-17
20.521484375,2020-01-21
-647.8154296875,2020-01-22
-9762.0546875,2020-01-23
-16500.7392578125,2020-01-24
8532.8486328125,2020-01-27
-2670.26171875,2020-01-28
1430.7177734375,2020-01-29
-19577.8046875,2020-01-30
5041.8046875,2020-01-31
14608.673828125,2020-02-03
12799.6201171875,2020-02-04
797.09765625,2020-02-05
-8138.6201171875,2020-02-06
4151.51171875,2020-02-07
5498.369140625,2020-02-10
6549.130859375,2020-02-11
-2997.2939453125,2020-02-12
-134.3154296875,2020-02-13
-4608.076171875,2020-02-14
3801.4892578125,2020-02-18
-2026.3037109375,2020-02-19
-6770.3154296875,2020-02-20
-34891.15234375,2020-02-21
-1069.195489257807,2020-02-24
0.0,2020-02-25
-41564.01743066404,2020-02-26
-1027.4622895508073,2020-02-27
34882.285682373215,2020-02-28
-1059.0790053710807,2020-03-02
37347.62779150391,2020-03-03
-1096.0973525389563,2020-03-04
-22181.950587890577,2020-03-05
-1074.2966376952827,2020-03-06
0.0,2020-03-09
0.0,2020-03-10
0.0,2020-03-11
0.0,2020-03-12
0.0,2020-03-13
0.0,2020-03-16
0.0,2020-03-17
0.0,2020-03-18
0.0,2020-03-19
0.0,2020-03-20
0.0,2020-03-23
0.0,2020-03-24
0.0,2020-03-25
-37498.08128515619,2020-03-26
25081.080078124884,2020-03-27
-12564.427246093634,2020-03-30
-49471.0244140625,2020-03-31
21071.65234375,2020-04-01
