account_rewards,date
6355.11962890625,2022-01-03
-32438.2080078125,2022-01-04
-2647.4013671875,2022-01-05
-6936.30712890625,2022-01-06
-7743.16796875,2022-01-07
12053.82177734375,2022-01-10
-3272.45849609375,2022-01-11
-10245.9033203125,2022-01-12
-6091.52001953125,2022-01-13
-35362.19970703125,2022-01-14
-20083.628173828125,2022-01-18
-20529.463134765625,2022-01-19
-24511.262817382812,2022-01-20
14995.824096679688,2022-01-21
-9787.55908203125,2022-01-24
-11438.148681640625,2022-01-25
-11766.822265625,2022-01-26
28690.467529296875,2022-01-27
29101.96630859375,2022-01-28
14978.8427734375,2022-01-31
2207.962158203125,2022-02-01
-27432.658447265625,2022-02-02
2160.7950439453125,2022-02-03
2658.478759765625,2022-02-04
20992.53466796875,2022-02-07
20102.580932617188,2022-02-08
-26146.659912109375,2022-02-09
-22477.583862304688,2022-02-10
-8230.944702148438,2022-02-11
28566.541015625,2022-02-14
-1128.61572265625,2022-02-15
-34217.22521972656,2022-02-16
-12700.755615234375,2022-02-17
-23843.168212890625,2022-02-18
-25005.240234375,2022-02-22
16369.869018554688,2022-02-23
-1638.5927087401506,2022-02-24
4609.151192871155,2022-02-25
-26799.5732421875,2022-02-28
28115.8916015625,2022-03-01
-24376.61572265625,2022-03-02
-26085.6826171875,2022-03-03
-54993.9775390625,2022-03-04
-2798.46533203125,2022-03-07
52828.5185546875,2022-03-08
-13278.02197265625,2022-03-09
-32587.978515625,2022-03-10
-30490.79443359375,2022-03-11
40715.8037109375,2022-03-14
56303.7041015625,2022-03-15
22006.392578125,2022-03-16
30738.2470703125,2022-03-17
-7585.142578125,2022-03-18
29982.0654296875,2022-03-21
-23010.2578125,2022-03-22
30141.900390625,2022-03-23
-1679.4013671875,2022-03-24
19022.505859375,2022-03-25
32763.05078125,2022-03-28
-22348.11328125,2022-03-29
-25277.5791015625,2022-03-30
6412.365234375,2022-03-31
