account_value,date,daily_return
1395088.878489383,2020-10-02,
1420995.5509591098,2020-10-05,0.018569908246834244
1400728.1554220004,2020-10-06,-0.014262814210382113
1426311.1569796177,2020-10-07,0.01826407319549439
1433065.5983858677,2020-10-08,0.004735601606421724
1449002.9157686802,2020-10-09,0.011121135976443375
1477857.9460421177,2020-10-12,0.01991371443040202
1474151.0651827427,2020-10-13,-0.002508279546963532
1463433.1823702427,2020-10-14,-0.007270545784377469
1458543.1599093052,2020-10-15,-0.003341472996407968
1456937.2770968052,2020-10-16,-0.0011010183700014275
1433959.7224093052,2020-10-19,-0.015771135139933223
1439008.6569796177,2020-10-20,0.0035209737703296717
1434703.8044405552,2020-10-21,-0.0029915404040015137
1439071.5866671177,2020-10-22,0.003044379064893965
1442102.5114718052,2020-10-23,0.0021061668041872927
1415334.0837374302,2020-10-26,-0.018562083847323163
1417566.7917452427,2020-10-27,0.0015775130645596658
1366133.9099093052,2020-10-28,-0.03628251038006869
1383499.3698702427,2020-10-29,0.012711389297181297
1358079.7038546177,2020-10-30,-0.018373456879860472
1369098.0759249302,2020-11-02,0.008113199865250387
1395378.3874483677,2020-11-03,0.019195346181231754
1437335.5388155552,2020-11-04,0.030068655029057423
1471470.7722139927,2020-11-05,0.023748966387185266
1470692.4890108677,2020-11-06,-0.0005289151628571354
1469819.8181124302,2020-11-09,-0.0005933741451447094
1461016.6013155552,2020-11-10,-0.005989316981846238
1479923.9421358677,2020-11-11,0.012941222435999489
1468149.3991671177,2020-11-12,-0.007956181147901864
1484878.4060030552,2020-11-13,0.011394621586486853
1500750.8044405552,2020-11-16,0.010689359056829995
1495852.7038546177,2020-11-17,-0.003263766756908981
1481876.4597139927,2020-11-18,-0.009343329129004485
1491196.3981905552,2020-11-19,0.006289281684359382
1483332.2087374302,2020-11-20,-0.005273744935722413
1491034.4157686802,2020-11-23,0.005192503058910836
1511730.2106905552,2020-11-24,0.013880159104983303
1513557.7878389927,2020-11-25,0.0012089307572960006
1523452.3464327427,2020-11-27,0.0065372849806264455
1518242.8835421177,2020-11-30,-0.003419511547455567
1534371.3513155552,2020-12-01,0.0106231143569131
1534912.6872530552,2020-12-02,0.0003528063379414359
1538678.2995577427,2020-12-03,0.0024533071724273103
1550132.0983858677,2020-12-04,0.007443920429252238
1552232.8337374302,2020-12-07,0.001355197633640337
1559216.3991671177,2020-12-08,0.004499045038799165
1537193.1989718052,2020-12-09,-0.014124530890693876
1541560.1638155552,2020-12-10,0.0028408692197383623
1540042.0485811802,2020-12-11,-0.0009847914275479264
1542060.2399874302,2020-12-14,0.0013104781185093728
1560668.7770968052,2020-12-15,0.012067321773062911
1565147.5231905552,2020-12-16,0.002869760809901978
1576522.0788546177,2020-12-17,0.007267401631812609
1573652.5075655552,2020-12-18,-0.0018201909935491312
1573199.3112764927,2020-12-21,-0.00028799006571256225
1575211.5729952427,2020-12-22,0.0012790888632649988
1574099.8239718052,2020-12-23,-0.0007057775872757466
1578080.9577608677,2020-12-24,0.0025291495040111744
1589409.9089327427,2020-12-28,0.007178941686204476
1584165.1794405552,2020-12-29,-0.0032997966495057485
1587063.0827608677,2020-12-30,0.0018292936607380295
1591927.9841280552,2020-12-31,0.00306534845402906
