account_rewards,date
-23643.20877343719,2022-04-04
-11674.8623046875,2022-04-05
1962.1533203125,2022-04-06
1534.2863425293472,2022-04-07
-18682.266479492188,2022-04-08
-2010.9698486328125,2022-04-11
20602.746948242188,2022-04-12
-8983.697143554688,2022-04-13
-4384.9105224609375,2022-04-14
26920.776733398438,2022-04-18
10177.373046875,2022-04-19
-23457.90380859375,2022-04-20
-46752.34680175781,2022-04-21
11491.836791992188,2022-04-22
-43311.12841796875,2022-04-25
1026.509521484375,2022-04-26
30183.73388671875,2022-04-27
-46493.37902832031,2022-04-28
7153.03369140625,2022-04-29
5922.859130859375,2022-05-02
45136.92431640625,2022-05-03
-55800.31494140625,2022-05-04
-10224.046020507812,2022-05-05
-40829.81359863281,2022-05-06
-1554.619863647502,2022-05-09
-20029.65563232405,2022-05-10
-2266.56103515625,2022-05-11
25478.95654296875,2022-05-12
104.6318359375,2022-05-13
24281.1767578125,2022-05-16
-56445.8486328125,2022-05-17
-9951.796875,2022-05-18
76.74560546875,2022-05-19
28353.61181640625,2022-05-20
-954.71142578125,2022-05-23
11706.234375,2022-05-24
26092.8828125,2022-05-25
29750.806640625,2022-05-26
-11901.81396484375,2022-05-27
-8536.93505859375,2022-05-31
23010.681640625,2022-06-01
-16512.12353515625,2022-06-02
1436.78271484375,2022-06-03
14305.59814453125,2022-06-06
-14432.6376953125,2022-06-07
-31403.2958984375,2022-06-08
-42719.75537109375,2022-06-09
-46270.4384765625,2022-06-10
-7141.126953125,2022-06-13
15413.43310546875,2022-06-14
-40010.60205078125,2022-06-15
25.1953125,2022-06-16
30315.47802734375,2022-06-17
-2383.40478515625,2022-06-21
10511.6396484375,2022-06-22
40682.5078125,2022-06-23
-2091.416015625,2022-06-24
-24394.68310546875,2022-06-27
1494.13623046875,2022-06-28
-12001.69775390625,2022-06-29
15733.56640625,2022-06-30
-4043.103515625,2022-07-01
