account_rewards,date
8123.79736328125,2018-04-04
-17831.2255859375,2018-04-05
2226.22509765625,2018-04-06
15278.68408203125,2018-04-09
-3079.3427734375,2018-04-10
5455.783203125,2018-04-11
-3070.8095703125,2018-04-12
6824.2021484375,2018-04-13
6920.109375,2018-04-16
2178.07080078125,2018-04-17
-5081.5546875,2018-04-18
-5307.06591796875,2018-04-19
20.68896484375,2018-04-20
-7392.03564453125,2018-04-23
-29.83251953125,2018-04-24
5149.5869140625,2018-04-25
569.98046875,2018-04-26
-6681.0341796875,2018-04-27
-565.06884765625,2018-04-30
-4519.14990234375,2018-05-01
-2534.67919921875,2018-05-02
8681.5361328125,2018-05-03
3133.01318359375,2018-05-04
778.0517578125,2018-05-07
8447.513671875,2018-05-08
7374.91259765625,2018-05-09
2297.84130859375,2018-05-10
37.2900390625,2018-05-11
-4508.11572265625,2018-05-14
4234.8876953125,2018-05-15
1142.1728515625,2018-05-16
-1901.2041015625,2018-05-17
6835.62353515625,2018-05-18
-3701.2939453125,2018-05-21
-1250.00048828125,2018-05-22
-3023.388671875,2018-05-23
-4195.07177734375,2018-05-24
-13053.76318359375,2018-05-25
14589.71630859375,2018-05-29
-7974.54150390625,2018-05-30
7732.77783203125,2018-05-31
4094.41650390625,2018-06-01
153.54345703125,2018-06-04
9072.373046875,2018-06-05
-194.37451171875,2018-06-06
3358.07763671875,2018-06-07
1876.1435546875,2018-06-08
-2.640625,2018-06-11
-4495.2353515625,2018-06-12
-7.6669921875,2018-06-13
-2558.14990234375,2018-06-14
-861.001953125,2018-06-15
-4519.30224609375,2018-06-18
2054.068359375,2018-06-19
-7714.2080078125,2018-06-20
4879.2998046875,2018-06-21
-13393.87109375,2018-06-22
3042.3349609375,2018-06-25
-9424.2041015625,2018-06-26
4733.67724609375,2018-06-27
1677.4013671875,2018-06-28
27.17724609375,2018-06-29
