account_rewards,date
-2714.7710058593657,2022-10-04
-15983.349169433583,2022-10-05
-34042.681640625,2022-10-06
-5929.55859375,2022-10-07
-561.404296875,2022-10-10
-1353.908203125,2022-10-11
38947.5,2022-10-12
-22863.099609375,2022-10-13
29520.97265625,2022-10-14
15933.990234375,2022-10-17
-5853.62109375,2022-10-18
-4971.328125,2022-10-19
35864.607421875,2022-10-20
19188.4921875,2022-10-21
18596.26171875,2022-10-24
-4006.833984375,2022-10-25
4945.37109375,2022-10-26
40373.947265625,2022-10-27
-7469.162109375,2022-10-28
-5100.9140625,2022-10-31
-27817.353515625,2022-11-01
-9426.87890625,2022-11-02
19264.341796875,2022-11-03
19405.58203125,2022-11-04
14951.033203125,2022-11-07
-31903.869140625,2022-11-08
64157.77734375,2022-11-09
5129.7421875,2022-11-10
-11156.712890625,2022-11-11
5280.779296875,2022-11-14
-4787.4375,2022-11-15
-1011.931640625,2022-11-16
8393.37890625,2022-11-17
-4095.123046875,2022-11-18
19406.66015625,2022-11-21
6026.578125,2022-11-22
5363.572265625,2022-11-23
-24081.439453125,2022-11-25
-1054.001953125,2022-11-28
39679.962890625,2022-11-29
-7919.724609375,2022-11-30
1087.318359375,2022-12-01
-24264.720703125,2022-12-02
-18782.90625,2022-12-05
-947.671875,2022-12-06
9931.564453125,2022-12-07
-14203.658203125,2022-12-08
24704.443359375,2022-12-09
6386.513671875,2022-12-12
-7522.69921875,2022-12-13
-38580.046875,2022-12-14
-13725.990234375,2022-12-15
-9711.556640625,2022-12-16
3891.80859375,2022-12-19
25043.84765625,2022-12-20
-18856.171875,2022-12-21
7801.86328125,2022-12-22
-1022.923828125,2022-12-23
-17884.529296875,2022-12-27
19260.169921875,2022-12-28
-3298.1015625,2022-12-29
-1887.9140625,2022-12-30
