account_rewards,date
5873.4579223633045,2019-04-04
916.5563461914426,2019-04-05
-6091.149472656194,2019-04-08
7006.641499999911,2019-04-09
-2160.6875,2019-04-10
4710.4375,2019-04-11
-1043.25,2019-04-12
3100.1875,2019-04-15
-531.1875,2019-04-16
253.4375,2019-04-17
2202.875,2019-04-18
13510.375,2019-04-22
-2407.6875,2019-04-23
2133.8125,2019-04-24
3548.125,2019-04-25
1977.625,2019-04-26
-8506.875,2019-04-29
-5856.0,2019-04-30
-1647.375,2019-05-01
16285.4375,2019-05-02
-5210.875,2019-05-03
-20419.875,2019-05-06
-2616.3125,2019-05-07
-4189.4375,2019-05-08
812.8125,2019-05-09
-34549.75,2019-05-10
11196.1875,2019-05-13
11220.4375,2019-05-14
9715.1875,2019-05-15
-10466.5625,2019-05-16
-14579.1875,2019-05-17
10667.5625,2019-05-20
-4464.6875,2019-05-21
-15687.6875,2019-05-22
1117.4375,2019-05-23
-3796.4375,2019-05-24
-7685.125,2019-05-28
2612.5,2019-05-29
-14665.0,2019-05-30
-15376.625,2019-05-31
24844.8125,2019-06-03
6190.0625,2019-06-04
5128.9375,2019-06-05
16198.4375,2019-06-06
10376.9375,2019-06-07
-76.8125,2019-06-10
-3820.75,2019-06-11
5684.4375,2019-06-12
-5180.125,2019-06-13
6190.0625,2019-06-14
13934.0625,2019-06-17
4280.3125,2019-06-18
8194.5625,2019-06-19
-2512.625,2019-06-20
-3329.25,2019-06-21
-15485.4375,2019-06-24
3232.0,2019-06-25
7397.0625,2019-06-26
4925.5,2019-06-27
10869.75,2019-06-28
2295.0,2019-07-01
7825.9375,2019-07-02
