account_rewards,date
69888.4439208986,2020-04-03
-3047.456266113324,2020-04-06
29783.30078125,2020-04-07
10411.38671875,2020-04-08
-1105.4992949219886,2020-04-09
0.0,2020-04-13
-18941.22371044918,2020-04-14
15358.97119140625,2020-04-15
18453.820556640625,2020-04-16
-13515.531005859375,2020-04-17
-37457.386962890625,2020-04-20
28799.69140625,2020-04-21
-197.379150390625,2020-04-22
17442.60791015625,2020-04-23
13278.921630859375,2020-04-24
-13585.986572265625,2020-04-27
37472.6396484375,2020-04-28
-4926.142578125,2020-04-29
-35733.038330078125,2020-04-30
11646.649169921875,2020-05-01
12128.311279296875,2020-05-04
2745.17138671875,2020-05-05
15443.58251953125,2020-05-06
18492.315185546875,2020-05-07
7136.653564453125,2020-05-08
-24325.21826171875,2020-05-11
-18398.6787109375,2020-05-12
10947.48046875,2020-05-13
8080.780029296875,2020-05-14
30055.7373046875,2020-05-15
-7729.374267578125,2020-05-18
23399.711181640625,2020-05-19
-11145.94775390625,2020-05-20
4588.65087890625,2020-05-21
4795.474365234375,2020-05-22
11162.09033203125,2020-05-26
-4906.60302734375,2020-05-27
13385.615234375,2020-05-28
7234.341796875,2020-05-29
7866.025634765625,2020-06-01
11195.481689453125,2020-06-02
-7646.34033203125,2020-06-03
27087.656005859375,2020-06-04
14489.9287109375,2020-06-05
656.3134765625,2020-06-08
5143.3974609375,2020-06-09
-69497.45581054688,2020-06-10
13097.5966796875,2020-06-11
15970.918701171875,2020-06-12
22160.39990234375,2020-06-15
464.765625,2020-06-16
3416.61181640625,2020-06-17
-1259.37744140625,2020-06-18
12826.7255859375,2020-06-19
8684.228759765625,2020-06-22
-29425.4560546875,2020-06-23
13758.271728515625,2020-06-24
-32627.2138671875,2020-06-25
15625.97119140625,2020-06-26
22649.368408203125,2020-06-29
10971.771240234375,2020-06-30
6559.34130859375,2020-07-01
