account_rewards,date
25906.672469726764,2020-10-02
-20267.395537109347,2020-10-05
25583.001557617215,2020-10-06
6754.44140625,2020-10-07
15937.3173828125,2020-10-08
28855.0302734375,2020-10-09
-3706.880859375,2020-10-12
-10717.8828125,2020-10-13
-4890.0224609375,2020-10-14
-1605.8828125,2020-10-15
-22977.5546875,2020-10-16
5048.9345703125,2020-10-19
-4304.8525390625,2020-10-20
4367.7822265625,2020-10-21
3030.9248046875,2020-10-22
-26768.427734375,2020-10-23
2232.7080078125,2020-10-26
-51432.8818359375,2020-10-27
17365.4599609375,2020-10-28
-25419.666015625,2020-10-29
11018.3720703125,2020-10-30
26280.3115234375,2020-11-02
41957.1513671875,2020-11-03
34135.2333984375,2020-11-04
-778.283203125,2020-11-05
-872.6708984375,2020-11-06
-8803.216796875,2020-11-09
18907.3408203125,2020-11-10
-11774.54296875,2020-11-11
16729.0068359375,2020-11-12
15872.3984375,2020-11-13
-4898.1005859375,2020-11-16
-13976.244140625,2020-11-17
9319.9384765625,2020-11-18
-7864.189453125,2020-11-19
7702.20703125,2020-11-20
20695.794921875,2020-11-23
1827.5771484375,2020-11-24
9894.55859375,2020-11-25
-5209.462890625,2020-11-27
16128.4677734375,2020-11-30
541.3359375,2020-12-01
3765.6123046875,2020-12-02
11453.798828125,2020-12-03
2100.7353515625,2020-12-04
6983.5654296875,2020-12-07
-22023.2001953125,2020-12-08
4366.96484375,2020-12-09
-1518.115234375,2020-12-10
2018.19140625,2020-12-11
18608.537109375,2020-12-14
4478.74609375,2020-12-15
11374.5556640625,2020-12-16
-2869.5712890625,2020-12-17
-453.1962890625,2020-12-18
2012.26171875,2020-12-21
-1111.7490234375,2020-12-22
3981.1337890625,2020-12-23
11328.951171875,2020-12-24
-5244.7294921875,2020-12-28
2897.9033203125,2020-12-29
4864.9013671875,2020-12-30
