date,^DJI,^GSPC,^IXIC,^NYA,^RUT
2018-01-02,0,25,0,0,100
2018-01-03,0,-25,29,0,-17
2018-01-04,0,100,2,8,100
2018-01-05,0,24,0,-8,100
2018-01-08,0,-76,7,0,100
2018-01-09,0,-1,0,0,4
2018-01-10,0,-47,18,0,0
2018-01-11,0,0,0,0,0
2018-01-12,0,0,1,10,-91
2018-01-16,9,0,2,-10,-74
2018-01-17,-9,0,51,0,-84
2018-01-18,3,2,2,0,-61
2018-01-19,2,-2,0,0,-31
2018-01-22,0,0,0,0,1
2018-01-23,0,0,10,0,-47
2018-01-24,0,0,0,0,0
2018-01-25,0,0,0,0,0
2018-01-26,0,0,0,0,1
2018-01-29,0,0,0,0,0
2018-01-30,0,0,0,0,-1
2018-01-31,-5,0,17,0,0
2018-02-01,0,0,0,0,0
2018-02-02,0,0,-139,0,0
2018-02-05,0,0,0,0,0
2018-02-06,0,0,0,0,0
2018-02-07,0,0,0,79,6
2018-02-08,0,0,0,-79,-6
2018-02-09,0,0,0,0,0
2018-02-12,0,68,0,29,100
2018-02-13,0,59,0,9,8
2018-02-14,0,-100,100,-38,25
2018-02-15,0,-27,0,0,48
2018-02-16,0,0,21,0,-100
2018-02-20,0,0,0,0,1
2018-02-21,0,0,0,0,0
2018-02-22,1,0,0,0,-16
2018-02-23,-1,0,3,0,2
2018-02-26,0,0,0,0,0
2018-02-27,0,0,14,0,-68
2018-02-28,5,0,-20,0,14
2018-03-01,0,0,3,0,-14
2018-03-02,0,0,0,0,0
2018-03-05,0,0,0,0,0
2018-03-06,0,0,0,0,0
2018-03-07,0,0,0,0,0
2018-03-08,0,0,0,0,0
2018-03-09,0,0,0,0,0
2018-03-12,0,0,0,0,0
2018-03-13,0,0,0,0,0
2018-03-14,0,0,0,0,0
2018-03-15,0,0,0,0,0
2018-03-16,0,0,0,0,0
2018-03-19,0,0,0,0,0
2018-03-20,0,0,0,0,0
2018-03-21,0,0,0,0,0
2018-03-22,0,0,0,0,0
2018-03-23,1,0,-5,0,0
2018-03-26,-6,58,0,0,0
2018-03-27,26,1,-89,0,0
2018-03-28,0,-59,22,0,1
2018-03-29,-26,0,-1,0,-1
2018-04-02,0,1,92,0,0
