account_rewards,date
8957.976902588038,2018-07-03
11829.45260009775,2018-07-05
9198.407592773438,2018-07-06
731.1198544921353,2018-07-09
-6101.817202026374,2018-07-10
13520.08543798828,2018-07-11
701.7837465821067,2018-07-12
-2142.466552734375,2018-07-13
6025.48486328125,2018-07-16
327.311767578125,2018-07-17
-4035.321044921875,2018-07-18
-632.458984375,2018-07-19
2447.760498046875,2018-07-20
857.2438049316406,2018-07-23
11471.345703124884,2018-07-24
-8722.113281249884,2018-07-25
-13759.669040283188,2018-07-26
-13202.283203125,2018-07-27
5386.135146240238,2018-07-30
3711.154296875,2018-07-31
11028.087890625,2018-08-01
1763.19921875,2018-08-02
5746.2990119628375,2018-08-03
3423.31005859375,2018-08-06
312.53355615236796,2018-08-07
32.214618896483444,2018-08-08
-7098.340087890625,2018-08-09
-2895.1526809082134,2018-08-10
6526.351355956984,2018-08-13
-11916.256253662053,2018-08-14
5766.808806396439,2018-08-15
1705.31591796875,2018-08-16
1001.16943359375,2018-08-17
4744.231654052739,2018-08-20
3025.590165039059,2018-08-21
-1617.3515625,2018-08-22
8512.973858886748,2018-08-23
9644.64599609375,2018-08-24
1480.17041015625,2018-08-27
9538.685738037108,2018-08-28
-3178.3652119140606,2018-08-29
2343.5012138672173,2018-08-30
-2183.34375,2018-08-31
-11043.756827392615,2018-09-04
-8309.188720703125,2018-09-05
-2741.5616437988356,2018-09-06
2215.7433176268823,2018-09-07
6170.483028808609,2018-09-10
-1982.8466463622171,2018-09-11
7648.573606689461,2018-09-12
-375.82674670405686,2018-09-13
-13733.655557861319,2018-09-14
7918.419793701032,2018-09-17
89.89453125,2018-09-18
10326.13671875,2018-09-19
-4373.885184326209,2018-09-20
-181.02620239253156,2018-09-21
1300.345703125,2018-09-24
-2530.775179199176,2018-09-25
6250.414179199142,2018-09-26
612.050537109375,2018-09-27
-132.491943359375,2018-09-28
